"","first_name","last_name","baker_age","baker_occupation","hometown","signature_bake","show_stopper","series","episode","technical","result"
"103","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,3,4,"IN"
"104","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,4,9,"IN"
"105","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,5,8,"IN"
"106","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,6,6,"OUT"
"107","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,7,NA,NA
"108","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,8,NA,NA
"109","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,9,NA,NA
"110","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents",6,10,NA,NA
"111","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,1,4,"IN"
"112","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,2,9,"IN"
"113","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,3,11,"OUT"
"114","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,4,NA,NA
"115","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,5,NA,NA
"116","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,6,NA,NA
"117","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,7,NA,NA
"118","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,8,NA,NA
"119","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,9,NA,NA
"120","Amelia","LeBruin",24,"Fashion designer","Halifax",NA,NA,10,10,NA,NA
"121","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,1,12,"IN"
"122","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,2,4,"IN"
"123","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,3,2,"IN"
"124","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,4,4,"IN"
"125","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,5,6,"IN"
"126","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,6,6,"IN"
"127","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,7,1,"STAR BAKER"
"128","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,8,2,"IN"
"129","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,9,2,"STAR BAKER"
"130","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake",7,10,1,"Runner-up"
"131","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,1,12,"IN"
"132","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,2,4,"IN"
"133","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,3,2,"IN"
"134","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,4,4,"IN"
"135","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,5,6,"IN"
"136","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,6,6,"IN"
"137","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,7,1,"STAR BAKER"
"138","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,8,2,"IN"
"139","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,9,2,"STAR BAKER"
"140","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Beehive Biscuits","Punting in Cambridge",7,10,1,"Runner-up"
"141","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,1,12,"IN"
"142","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,2,4,"IN"
"143","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,3,2,"IN"
"144","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,4,4,"IN"
"145","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,5,6,"IN"
"146","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,6,6,"IN"
"147","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,7,1,"STAR BAKER"
"148","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,8,2,"IN"
"149","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,9,2,"STAR BAKER"
"150","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Chocolate Barmbrack Bread","Braided Harvest Bread Basket",7,10,1,"Runner-up"
"151","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,1,12,"IN"
"152","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,2,4,"IN"
"153","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,3,2,"IN"
"154","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,4,4,"IN"
"155","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,5,6,"IN"
"156","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,6,6,"IN"
"157","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,7,1,"STAR BAKER"
"158","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,8,2,"IN"
"159","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,9,2,"STAR BAKER"
"160","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Yorkshire 'Tapas' Puddings","Churros Window Box",7,10,1,"Runner-up"
"161","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,1,12,"IN"
"162","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,2,4,"IN"
"163","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,3,2,"IN"
"164","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,4,4,"IN"
"165","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,5,6,"IN"
"166","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,6,6,"IN"
"167","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,7,1,"STAR BAKER"
"168","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,8,2,"IN"
"169","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,9,2,"STAR BAKER"
"170","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites",7,10,1,"Runner-up"
"171","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio",7,1,12,"IN"
"172","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio",7,2,4,"IN"
"173","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down","Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio",7,3,2,"IN"
